Lakeridge Health Oshawa,"Kingston, Ontario",1,,,,,,
Lambton Public Health,Kenora,1,,,,,,
"Lanark, Leeds and Grenville Addictions and Mental Health",,1,,,,,,
Lucero Health Centre,Thunder Bay,1,,,,,,
Lucero Health Centre,Thunder Bay,1,,,,,,Shelters
Middlesex-London Health Unit,"London, Ontario",,,,,,,Addiction treatment centres
Migisi Alchol and Drug Treatment Centre,"London, Ontario",1,,,,,,Opiod and Methadone clinic
Mike Powell Counselling Services,Ottawa,,,,,,,Wellness Hub for Youth
Mission Services of Hamilton,,1,,,,,,Centres for Women
Mission Services of London,Thunder Bay,1,,,,,,Smoking Cessation programs
Monarch Recovery Services,"London, Ontario",1,,,,,,Gambling Programs
Monarch Recovery Services,"Hamilton, Ontario",1,,,,,,Alcohol Cessation Program
Monarch Recovery Services,Ottawa,1,,,,,,Food Addictions and Eating disorders
N'Amerind (London) Friendship Centre,Brampton,1,,,,,,Counselling
N'Swakamok Native Friendship Centre,"London, Ontario",,,,,,,
Ne Chee Friendship Centre,Kenora,,,,,,,
New Beginnings Clinic,"Pembroke, Ontario",1,,,,,,
New Dawn Medical,"Hamilton, Ontario",1,,,,,,
New Dawn Medical,"Toronto, Ontario",1,,,,,,
New Dawn Medical,"Peterborough, Ontario",1,,,,,,
New Life Clinic,"Cobourg, Ontario",1,,,,,,
Niagara Health,Greater Sudbury,1,,,,,,
Niagara Health,"Port Colborne, Ontario",1,,,,,,
Nogojiwanong Friendship Centre,St. Catharines,1,,,,,,
North Bay Indigenous Friendship Centre,"Peterborough, Ontario",,,,,,,
North Bay Regional Health Centre,"North Bay, Ontario",,,,,,,
Northern Treatment Centre,"North Bay, Ontario",1,,,,,,
Northwestern Health Unit,Kirkland Lake,1,,,,,,
NorWest Community Health Centres,Kenora,1,,,,,,
Oak Medical Arts,Thunder Bay,,,,,,,
Ontario Addiction Treatment Centres,Thunder Bay,1,,,,,,
Ontario Addiction Treatment Centres,Thorold,1,,,,,,
Ontario Addiction Treatment Centres,Port Colborne,1,,,,,,
Ontario Addiction Treatment Centres,St. Catharines,1,,,,,,
Ontario Addiction Treatment Centres - Kitchener,"Peterborough, Ontario",1,,,,,,
Ontario Addiction Treatment Centres - Niagara Region,,1,,,,,,
Ontario Addiction Treatment Centres - Northeastern Ontario,,1,,,,,,
Ontario Addiction Treatment Centres - Northwestern Ontario,,1,,,,,,
Ontario Addiction Treatment Centres [Windsor],,1,,,,,,
Oxford County Community Health Centre,,1,,,,,,
Oxford Recovery Clinic,,1,,,,,,
Pathways Alcohol and Drug Treatment Services,,1,,,,,,
Peel Addiction Assessment and Referral Centre,,1,,,,,,
Pembroke Regional Hospital,,1,,,,,,
Peterborough Public Health,,1,,,,,,
Peterborough Regional Health Centre,,1,,,,,,
Phoenix Medical Centre,,1,,,,,,
Quest Community Health Centre,Mississauga,1,,,,,,
Rapids Family Health Team,Oshawa,1,,,,,,
Ray of Hope,Ottawa,1,,,,,,
RE/ACT Windsor-Essex,Kitchner,1,,,,,,
Recovery Care,Ottawa,1,,,,,,
Recovery North,"Cornwall, Ontario",1,,,,,,
Renew Medical Clinic,Sudbury,1,,,,,,
RGA and The Space Within,Mississauga,,,,,,,
Right to Heal,"Stratford, Ontario",,,,,,,
Road to Recovery Addiction Clinic,Barrie,1,,,,,,
Salvation Army (The),Barrie,1,,,,,,
Salvation Army (The),"Kingston, Ontario",1,,,,,,
"Salvation Army, Greater Toronto Housing and Homelessness Supports",Ottawa,1,,,,,,
Sandy Hill Community Health Centre,,1,,,,,,
Sault Area Hospital,Ottawa,1,,,,,,
Segue Clinic,,1,,,,,,
Seven South Street Treatment Centre,,1,,,,,,
Shepherds of Good Hope,,1,,,,,,
Silverlinings Medical Centres,Guelph,1,,,,,,
Silverlinings Medical Centres,Guelph,1,,,,,,
Simcoe Muskoka Regional Eating Disorder Program,,1,,,,,,
SOAR Community Services,,1,,,,,,
Sobriety House Inc,,1,,,,,,
St Joseph's Care Group,"lillie street,London, Ontario",1,,,,,,
St Joseph's Care Group,"Sibley Dr, London, Ontario",1,,,,,,
St Joseph's Care Group,"Oliver Road, Ontario",1,,,,,,
St Joseph's General Hospital - Camillius Centre,Elliot Lake,1,,,,,,
St Joseph's General Hospital - Adult Substance program,Elliot Lake,1,,,,,,
St Joseph's General Hospital - Chemicals dependency program,Elliot Lake,1,,,,,,
St Michael's Hospital,,,,,,,,
St Paul Clinic,,,,,,,,
St. Joseph's Healthcare Hamilton,,,,,,,,
Stonehenge Therapeutic Community,Guelph,1,,,,,,
Stonehenge Therapeutic Community - RAAMS,Guelph,1,,,,,,
Stonehenge Therapeutic Community - Residential Program,Guelph,1,,,,,,
Teen Challenge Canada,"London, Ontario",1,,,,,,
The Ottawa Mission,,1,,,,,,
Thunder Bay Addiction Centres,,1,,,,,,
Thunder Bay Counselling,,1,,,,,,
Timmins Native Friendship Centre,,1,,,,,,
Towards Recovery Clinic,Barrie,1,,,,,,
Towards Recovery Clinic,Brantford,1,,,,,,
Trillium Health Partners,Toronto,1,,,,,,
trueNorth Addiction Treatment,Toronto,1,,,,,,
TrueNorth Medical Centre,"Cambridge, Ontario",1,,,,,,
TrueNorth Medical Centre,Guelph,1,,,,,,
Turning Point,Brantford,1,,,,,,
"University Health Network, Toronto General Hospital",,1,,,,,,
Viscount Pharmacy,"London, Ontario",,,,,,,
Vitanova Foundation,Vaughan,1,,,,,,
Wayside House of Hamilton,,1,,,,,,
Wellington Guelph Drug Strategy,Guelph,1,,,,,,
Wellington-Dufferin-Guelph Public Health,Guelph,1,,,,,,
Wesley,,1,,,,,,
Westover Treatment Centre,Thamesvile,1,,,,,,
William Osler Health System,Brampton,1,,,,,,
Windsor Essex Community Health Centre,,1,,,,,,
Windsor Family Health Team,,1,,,,,,
Windsor Life Centre,,1,,,,,,
Women's College Hospital,,1,,,,,,
Youth Diversion,"Kingston, Ontario",1,,,,,,
,,,,,,,,
,,201,,,,,,
