"Canadian Mental Health Association, York Region and South Simcoe","Markham, Ontario",1
"Canadian Mental Health Association, York Region and South Simcoe",Vaughan,1
Canadian Mental Health Association. Simcoe County Branch,Barrie,1
Canadian Mental Health Association. Simcoe County Branch,Orillia,1
Catholic Family Services of Peel Dufferin,Brampton,1
Catholic Family Services of Peel Dufferin,Mississauga,1
Central Toronto Youth Services,Toronto,1
Centre Jubilee Centre,Timmins,1
Centretown Community Health Centre,Ottawa,1
CFS Counselling + Wellbeing,Barrie,1
Chatham-Kent Youth Wellness Hub,Chatham-Kent,1
Chimo Youth & Family Services Inc.,Kawartha Lakes,
CMHA Thames Valley Addiction and Mental Health Services,"London, Ontario",1
CMHA Thames Valley Addiction and Mental Health Services,"St. Thomas, Ontario",1
CMHA Thames Valley Addiction and Mental Health Services,"Woodstock, Ontario",1
Compass Boussole Akii-Izhinoogan,Greater Sudbury,1
Contact Brant,Brantford,1
Cornwall Community Hospital,"Cornwall, Ontario",1
De dwa da dehs nye>s Aboriginal Health Centre,Brantford,1
Dilico Anishinabek Family Care,Thunder Bay,1
Eating Disorders Anonymous,Barrie,
Emotions Anonymous International,Guelph,1
Enrichment Centre for Mental Health,"Belleville, Ontario",1
EveryMind Mental Health Services,Mississauga,1
Firefly,"Dryden, Ontario",1
Fred Victor,Toronto,1
Frontenac Youth Services,Oshawa,1
Geriatric Psychiatry Community Services of Ottawa,Ottawa,1
Good Shepherd Centres,"Hamilton, Ontario",1
Grand River Community Health Centre,Brantford,1
Grand River Hospital,"Kitchener, Ontario",1
Group Health Centre,"Sault Ste. Marie, Ontario",1
Hamilton Health Sciences,"Hamilton, Ontario",1
Health Sciences North,Greater Sudbury,1
Here 24 Seven,Guelph,1
Home on the Hill,"Richmond Hill, Ontario",1
Homewood Health Centre,Guelph,1
Hong Fook Mental Health Association,"Markham, Ontario",1
Hotel-Dieu Grace Healthcare,"Windsor, Ontario",1
Huron Perth Healthcare Alliance,"Stratford, Ontario",1
Institute for Advancements in Mental Health,Toronto,1
Joseph Brant Hospital,"Burlington, Ontario",1
Ken Marek Lifegates Unlimited,Barrie,1
Kenora Association for Community Living,Kenora,1
"Keystone Child, Youth and Family Services",Owen Sound,1
Kinark Child and Family Services,Barrie,1
Kinark Child and Family Services. Durham Region,Oshawa,1
Krasman Centre,"Richmond Hill, Ontario",1
"Lakeridge Health, Durham Mental Health Services",Oshawa,1
Le CAP,Ottawa,1
"Linck Child, Youth and Family Supports",Chatham-Kent,1
LOFT Community Services,Toronto,1
LOFT Community Services,Vaughan,1
London Health Sciences Centre,"London, Ontario",1
Lumenus Community Services,Toronto,1
Lynwood Charlton Centre,"Hamilton, Ontario",1
Madison Community Services,Toronto,1
Markham Stouffville Hospital,"Markham, Ontario",1
Maryvale Adolescent and Family Services,"Windsor, Ontario",1
Meadan Mansion,"St. Thomas, Ontario",1
Mental Health Connections,"Windsor, Ontario",1
Mental Health Network of Chatham-Kent,Chatham-Kent,1
Mental Health Rights Coalition,"Hamilton, Ontario",1
Mission Services of London,"London, Ontario",1
Montebello Place Inc,St. Catharines,1
Montfort Renaissance,Ottawa,1
Mood Disorders Support Group of Guelph,Guelph,1
Myeloma Canada [Windsor District],"Windsor, Ontario",1
NAN Hope,Thunder Bay,1
National Initiative for Eating Disorders,Toronto,
New Life Girls' Home Canada,Quinte West,
New Path Youth and Family Services of Simcoe County,Barrie,1
New Path Youth and Family Services of Simcoe County,Orillia,1
Niagara Health,Port Colborne,1
Nogojiwanong Friendship Centre,"Peterborough, Ontario",1
North Bay Regional Health Centre,Greater Sudbury,1
North Bay Regional Health Centre,"North Bay, Ontario",1
Northern Initiative for Social Action,Greater Sudbury,1
Northwestern Ontario Peer Connections,Thunder Bay,1
Nuvista Mental Health,Ottawa,1
OCD North,Barrie,1
OCD Ottawa,Ottawa,1
Ontario Native Women's Association,Thunder Bay,1
Ontario Native Women's Association,Timmins,1
Ontario Shores Centre for Mental Health Sciences,Kawartha Lakes,1
Operational Stress Injury Social Support,"London, Ontario",1
OPTIONS northwest,Thunder Bay,1
Orillia Soldiers' Memorial Hospital,Orillia,1
Overeaters Anonymous,"Belleville, Ontario",1
Overeaters Anonymous,Brockville,1
Overeaters Anonymous,"Burlington, Ontario",1
Overeaters Anonymous,"Kingston, Ontario",1
Overeaters Anonymous,Ottawa,1
Overeaters Anonymous - Northern Ontario,Greater Sudbury,1
Pathstone Mental Health,Welland,1
Pembroke Regional Hospital,"Pembroke, Ontario",1
Peterborough Family Health Team,"Peterborough, Ontario",1
PLEO - Parents' Lifeline,Ottawa,1
PLEO - Parents' Lifeline,"Pembroke, Ontario",1
Postpartum Support International,Toronto,
Providence Care,"Kingston, Ontario",1
Psychiatric Survivors of Ottawa,Ottawa,1
Quinte Health,"Belleville, Ontario",1
Reconnect Health Services,Brampton,1
Reconnect Health Services,Mississauga,1
Recovery Canada - Sault Ste Marie,"Sault Ste. Marie, Ontario",1
Robbie Dean Family Counselling Centre,"Pembroke, Ontario",1
ROCK,"Burlington, Ontario",1
Ross Memorial Hospital Kawartha Lakes,Kawartha Lakes,1
Royal Victoria Regional Health Centre,Barrie,1
Salvation Army Ontario Division,"Hamilton, Ontario",1
"Salvation Army, Greater Toronto Housing and Homelessness Supports",Toronto,1
Sandy Hill Community Health Centre,Ottawa,1
Sault Area Hospital,"Sault Ste. Marie, Ontario",1
School Community Intervention Partnership,"London, Ontario",1
Services and Housing in the Province,Mississauga,
Shepherds of Good Hope,Ottawa,1
Six Nations of the Grand River,Brantford,1
SOAR Community Services,Brantford,1
Somerset West Community Health Centre,Ottawa,1
Southwest Ontario Aboriginal Health Access Centre,Owen Sound,1
St Joseph's Care Group,Thunder Bay,1
St Joseph's Health Care London,"London, Ontario",1
St Joseph's Healthcare Hamilton,Brantford,1
St Joseph's Healthcare Hamilton,"Burlington, Ontario",1
St Thomas Elgin General Hospital,"St. Thomas, Ontario",1
St. Joseph's Healthcare Hamilton,"Hamilton, Ontario",1
Starling Community Services,"Waterloo, Ontario",1
The Phoenix Centre for Children and Families,"Pembroke, Ontario",1
The Royal,Brockville,1
Thunder Bay Regional Health Sciences Centre,Thunder Bay,1
Toronto Mental Health and Addictions Access Point,Toronto,1
Trillium Health Partners,Mississauga,1
Trinity Square Café,Toronto,1
Valor & Solutions,Clarence-Rockland,1
Valoris for Children and Adults of Prescott-Russell,Clarence-Rockland,1
Vanier Children's Mental Wellness,"London, Ontario",1
Wellkin,"St. Thomas, Ontario",1
Wellkin,"Woodstock, Ontario",1
Wellkin Child and Youth Mental Wellness,"St. Thomas, Ontario",1
William Osler Health System,Brampton,1
Windsor Regional Hospital,"Windsor, Ontario",1
Women Warriors' Healing Garden,Ottawa,
"Woodview Mental Health and Autism Services, Brantford-Brant",Brantford,1
Youthdale Treatment Centres,Toronto,1
,,
,,183
