id,Service name,address,Postal code,Phone number,Service description,keywords,source,postal code filtering,community mental health in Ontario,community mental health in Ontario.1,Clean_Service_Name,City,City_Extraction_Status
70,BounceBack Ontario,,,,A skills-building program with telephone coaching to help manage symptoms of depression and anxiety.,"skills-building, depression, anxiety",https://www.kflaph.ca/en/health-topics/mental-health-services.aspx,-1,1,1,bounceback ontario,,Empty City
78,Community Crisis Centre of Windsor-Essex County,,,,Provides crisis intervention and support services.,"crisis intervention, support services",https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,community crisis centre of windsor essex county,,Empty City
82,"Kenora Association for Community Living, Community Mental Health Support Services",,,,Offers support services for community living and mental health.,"community living, mental health support",https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,kenora association for community living community mental health support services,,Empty City
85,"Niagara Region, Community Mental Health Program",,,,Provides mental health programs in the Niagara region.,mental health programs,https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,niagara region community mental health program,,Empty City
90,"Destress Centre of Lanark, Leeds and Grenville",,,,Offers stress relief services and mental health support.,"stress relief, mental health support",https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,destress centre of lanark leeds and grenville,,Empty City
92,Campbellford and District Community Mental Health Centre,,,,Offers community mental health support in Campbellford.,community mental health support,https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,campbellford and district community mental health centre,,Empty City
97,Durham Mental Health Services,,,,Provides mental health services in the Durham region.,mental health services,https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,durham mental health services,,Empty City
98,Addiction & Mental Health Services - Kingston Frontenac Lennox & Addington,,,,Provides addiction and mental health services.,"addiction services, mental health services",https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,addiction & mental health services kingston frontenac lennox & addington,,Empty City
101,Haliburton Highlands Mental Health Services,,,,Offers mental health services in Haliburton Highlands.,mental health services,https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,haliburton highlands mental health services,,Empty City
106,Lanark County Mental Health,,,,Offers mental health services in Lanark County.,mental health services,https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,lanark county mental health,,Empty City
111,Sound Times Support Services of Metropolitan Toronto,,,,Offers support services for mental health recovery.,"support services, mental health recovery",https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,sound times support services of metropolitan toronto,,Empty City
112,Toronto North Support Services,,,,Provides support services for mental health needs.,"support services, mental health",https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,toronto north support services,,Empty City
113,York Support Services Network,,,,Offers mental health services and support.,"mental health services, support",https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,york support services network,,Empty City
115,Counselling Centre of East Algoma,,,,Offers counseling services for mental health support.,"counseling services, mental health support",https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,counselling centre of east algoma,,Empty City
118,"Services de counselling de Hearst, Kapuskasing and Smooth Rock Falls",,,,Provides counseling services in specified regions.,counseling services,https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,services de counselling de hearst kapuskasing and smooth rock falls,,Empty City
119,Thunder Bay Counselling Centre,,,,Offers counseling services for mental health issues.,"counseling services, mental health issues",https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,thunder bay counselling centre,,Empty City
129,Children's Hospital of Eastern Ontario (CHEO) Mental Health Patient Service Unit,,,,Provides mental health services for children.,children's mental health,https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,children s hospital of eastern ontario mental health patient service unit,,Empty City
157,Thunder Bay Sexual Assault/Sexual Abuse Counselling and Crisis Centre,,,,Provides counseling and crisis support for sexual abuse survivors.,"sexual abuse, crisis support, counseling",https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,thunder bay sexual assault sexual abuse counselling and crisis centre,,Empty City
164,Bluewater Health Mental Health Program,,,,Offers mental health programs through Bluewater Health.,mental health programs,https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,bluewater health mental health program,,Empty City
167,Six Nation Mental Health Services,,,,Provides mental health services for Six Nations communities.,"mental health services, Six Nations",https://www.ontarioshores.ca/resources-support/other-service-providers/other-service-providers-ontario,-1,1,1,six nation mental health services,,Empty City
175,Addiction and Mental Health Services (AMHS-KFLA) - Kingston Frontenac Lennox & Addington,"552 Princess St, Kingston, ON",K7L 1C7,613-544-1356,Community mental health programs provide a variety of services to help support people who have ongoing mental health issues living in the community.,"community mental health, ongoing mental health issues, information and referral, case management, housing supports, rehabilitation, employment assistance, counselling, support groups, social and recreational opportunities, peer support services",https://www.southeasthealthline.ca/listServicesDetailed.aspx?id=10237&region=Kingston,1,1,1,addiction and mental health services kingston frontenac lennox & addington,Kingston,Good
176,Centre for Addiction and Mental Health (The),"City Place II, 1473 John Counter Blvd Suite 402, Kingston, ON",K7M 8Z6,613-546-4266,Community mental health programs provide a variety of services to help support people who have ongoing mental health issues living in the community.,"community mental health, ongoing mental health issues, information and referral, case management, housing supports, rehabilitation, employment assistance, counselling, support groups, social and recreational opportunities, peer support services",https://www.southeasthealthline.ca/listServicesDetailed.aspx?id=10237&region=Kingston,1,1,1,centre for addiction and mental health,Kingston,Good
177,Peer Support South East Ontario - Kingston Peer Support Centre - Peers of the Round Table,"60 Queen St, Kingston, ON",K7K 1A4,613-549-4964,Community mental health programs provide a variety of services to help support people who have ongoing mental health issues living in the community.,"community mental health, ongoing mental health issues, information and referral, case management, housing supports, rehabilitation, employment assistance, counselling, support groups, social and recreational opportunities, peer support services",https://www.southeasthealthline.ca/listServicesDetailed.aspx?id=10237&region=Kingston,1,1,1,peer support south east ontario kingston peer support centre peers of the round table,Kingston,Good
178,Providence Care - Regional Specialty Mental Health Services - Community and Outpatient Services,"752 King St W, Postal Bag 603, Kingston, ON",K7L 4X3,613-540-6165 Ext 4126,Community mental health programs provide a variety of services to help support people who have ongoing mental health issues living in the community.,"community mental health, ongoing mental health issues, information and referral, case management, housing supports, rehabilitation, employment assistance, counselling, support groups, social and recreational opportunities, peer support services",https://www.southeasthealthline.ca/listServicesDetailed.aspx?id=10237&region=Kingston,1,1,1,providence care regional specialty mental health services community and outpatient services,Kingston,Good
179,The Operational Stress Injury Clinic - Royal Ottawa Health Care Group,"1475 John Counter Blvd, Suite 100, Kingston, ON",K7M 0E6,613-549-1235 ext 101,Community mental health programs provide a variety of services to help support people who have ongoing mental health issues living in the community.,"community mental health, ongoing mental health issues, information and referral, case management, housing supports, rehabilitation, employment assistance, counselling, support groups, social and recreational opportunities, peer support services",https://www.southeasthealthline.ca/listServicesDetailed.aspx?id=10237&region=Kingston,1,1,1,the operational stress injury clinic royal ottawa health care group,Kingston,Good
180,Addiction and Mental Health Services (AMHS-KFLA) - Kingston Frontenac Lennox & Addington - Napanee Site,"70 Dundas St E, Napanee, ON",K7R 1H9,613-354-7521,Offers case management and other mental health support services to the community.,"case management, mental health support services",https://www.southeasthealthline.ca/listServicesDetailed.aspx?id=10237&region=Kingston,1,1,1,addiction and mental health services kingston frontenac lennox & addington napanee site,Napanee,Good
181,Addiction and Mental Health Services (AMHS-KFLA) - Kingston Frontenac Lennox & Addington - Napanee Site - Case Management,"70 Dundas St E, Napanee, ON",K7R 1H9,613-354-7521,Offers case management and other mental health support services to the community.,"case management, mental health support services",https://www.southeasthealthline.ca/listServicesDetailed.aspx?id=10237&region=Kingston,1,1,1,addiction and mental health services kingston frontenac lennox & addington napanee site case management,Napanee,Good
185,HART Hub Niagara,"Queenston Street, St. Catharines",,,"The HART Hub connects people to a range of comprehensive treatment and recovery services such as primary care, mental health services, addictions care, social services and employment support.","mental health, addictions care, primary care, social services, employment support, recovery services",https://eawaz.com/health/ontario-homeless-addiction-recover-niagara/,-1,1,1,hart hub niagara,St. Catharines,Good
186,Quest Community Health Centre,"Queenston Street, St. Catharines",,,"Provides mental health and addiction services, as well as supports for integrated care.","mental health services, addiction services, integrated care",https://eawaz.com/health/ontario-homeless-addiction-recover-niagara/,-1,1,1,quest community health centre,St. Catharines,Good
187,De dwa da dehs nye>s Aboriginal Health Services,"Queenston Street, St. Catharines",,,"Offers health services tailored for Indigenous populations, including mental health and addictions care.","Indigenous health services, mental health, addictions care",https://eawaz.com/health/ontario-homeless-addiction-recover-niagara/,-1,1,1,de dwa da dehs nye s aboriginal health services,St. Catharines,Good
188,Niagara Region Mental Health,"Queenston Street, St. Catharines",,,Provides comprehensive mental health services and support for individuals facing mental health challenges.,"mental health services, support services",https://eawaz.com/health/ontario-homeless-addiction-recover-niagara/,-1,1,1,niagara region mental health,St. Catharines,Good
192,Carion Fenn Foundation,,,289-923-8170,"The Carion Fenn Foundation hosts various programs focused on mental health, wellness, and community support, including forums and workshops.","mental health, wellness, community support, workshops",https://carionfenn.org/mental-health-forum,-1,1,1,carion fenn foundation,,Empty City
194,Canadian Mental Health Association Durham,"60 Bond St. West, Oshawa, ON",L1G 1A5,(905) 436-8760,"A welcoming community mental health and primary care centre that promotes the mental, emotional, and physical well-being of the community through education, collaboration, and the provision of a broad range of direct services.","mental health, primary care, community services, peer support, case management",https://cmhadurham.ca/client-intake/,1,1,1,canadian mental health association durham,Oshawa,Good
195,Canadian Mental Health Association Durham,60 Bond St. West,L1G 1A5,(905) 436-8760,"The Canadian Mental Health Association Durham is a welcoming community mental health and primary care centre. They provide a range of services including Assertive Community Treatment Team, Case Management, Client and Family Centered Care, Mental Health and Addictions Peer Support, and various other programs aimed at supporting individuals experiencing mental health issues.","community mental health, primary care, Assertive Community Treatment, Case Management, Peer Support",https://cmhadurham.ca/mental-health/,1,1,1,canadian mental health association durham,Bond St. West,Good
196,Centre for CBT,"Ajax, Ontario",,905-427-2007,"Leading Cognitive Behavioral Therapy Services providing clinically proven mental health therapy online & in person, tailored for individual needs.","Cognitive Behavioral Therapy, mental health therapy, online therapy, personalized treatment",https://ccbt.ca/,-1,1,1,centre for cbt,Ajax,Short City
202,Dr. Edward Kwok Bun Kwong,"Toronto General Hospital, 2200 Fairview Street",L7R 4H9,(905) 632-9133,"Dr. Edward Kwok Bun Kwong is a Family Doctor dedicated to providing high-quality, comprehensive, and patient-centered family medical care. He offers services related to mental health concerns, including supportive counseling for stress-related conditions, depression, anxiety disorders, and ADHD management among others.","Family Doctor, mental health, supportive counseling, treatment options, ADHD management, stress-related conditions, depression, anxiety disorders",https://www.healthdoc.ca/listing/dr-edward-kwok-bun-kwong-1b1b87,1,1,1,dr edward kwok bun kwong,Toronto,Good
203,Eastern Champlain Youth Wellness Hubs,"Chamberland Centre, 1517 Laurier St Clarence-Rockland, ON",K4K 1C5,613-577-7219,"Integrated hub for youth to help with social and community needs, providing mental health and substance use services along with outreach and system navigation services.","youth wellness, mental health services, substance use services, outreach, system navigation, community needs",https://cneo-nceo.ca/results/?searchLocation=Alfred+And+Plantagenet&topicPath=137&latitude=45.58388&longitude=-75.00404&pg=,1,1,1,eastern champlain youth wellness hubs,Chamberland Centre,Good
205,Odawa Native Friendship Centre,"815 St. Laurent Blvd Ottawa, ON",K1K 3A7,613-722-3811,"Provides a secure and culturally appropriate space for counseling, life skills education, crisis intervention, and referrals to health services.","counseling, life skills, cultural teachings, crisis intervention",https://cneo-nceo.ca/results/?searchLocation=Alfred+And+Plantagenet&topicPath=137&latitude=45.58388&longitude=-75.00404&pg=,1,1,1,odawa native friendship centre,Ottawa,Good
206,ACB Wellness Resource Centre,"610 Donald St Ottawa, ON",K1K 1L4,613-749-9222,Facilitates biweekly gatherings for Black youth to discuss mental health and wellness in a supportive environment.,"youth wellness, mental health, Black identity, supportive space",https://cneo-nceo.ca/results/?searchLocation=Alfred+And+Plantagenet&topicPath=137&latitude=45.58388&longitude=-75.00404&pg=,1,1,1,acb wellness resource centre,Ottawa,Good
208,Wabano Centre for Aboriginal Health,"299 Montreal Rd Ottawa, ON",K1L 6B8,613-748-0657,"Aboriginal health center focused on family and community health, offering a wide range of mental health services and culturally sensitive programs.","Aboriginal health, family services, mental health services, community health",https://cneo-nceo.ca/results/?searchLocation=Alfred+And+Plantagenet&topicPath=137&latitude=45.58388&longitude=-75.00404&pg=,1,1,1,wabano centre for aboriginal health,Ottawa,Good
210,Ottawa Community Immigrant Services Organization,"1800 Bank St, 3rd Fl Ottawa, ON",K1V 0W3,613-518-0680 ext 110,"Supports newcomer youth with mental health counseling and life skills workshops, aiding their transition and integration.","newcomer support, mental health counseling, life skills, youth programming",https://cneo-nceo.ca/results/?searchLocation=Alfred+And+Plantagenet&topicPath=137&latitude=45.58388&longitude=-75.00404&pg=,1,1,1,ottawa community immigrant services organization,Ottawa,Good
211,Operation Come Home,"150 Gloucester St Ottawa, ON",K2P 0A6,613-230-4663,"Assists youth experiencing homelessness, offering housing support, employment preparation, and mental health resources.","youth homelessness, housing support, employment programs, mental health",https://cneo-nceo.ca/results/?searchLocation=Alfred+And+Plantagenet&topicPath=137&latitude=45.58388&longitude=-75.00404&pg=,1,1,1,operation come home,Ottawa,Good
215,Ontario Shores Centre for Mental Health Sciences,,,,"Ontario Shores provides a range of mental health services including treatment for various conditions such as addictions, anxiety, depression, and psychosis, utilizing a recovery model of care.","mental health services, addictions, anxiety, depression, psychosis, recovery model, outpatient care, inpatient care.",https://www.ontarioshores.ca/,-1,1,1,ontario shores centre for mental health sciences,,Empty City
216,Canadian Mental Health Services (CMHA Toronto),,,,"Offers mental health programs, peer support groups, and counseling for individuals across Toronto.","mental health programs, peer support groups, counseling",https://aworie.com/how-to-access-affordable-mental-health-services-in-toronto/,-1,1,1,canadian mental health services,,Empty City
222,Sunlight Psychotherapy,36 Victoria St W,,705-905-0162,"Sunlight Psychotherapy offers therapy that is collaborative, trauma-informed, and inclusive, focusing on authentic connection and a judgment-free environment for healing.","therapy, trauma-informed, inclusive, neurodivergent support, LGBTQIA2S+ support, person-centered, mental health support",https://www.sunlightpsychotherapy.com/about,-1,1,1,sunlight psychotherapy,Victoria St W,Good
234,Community Health Centre Alliston,"27 Wellington Street East, Alliston, Ontario",L9R 1W7,(705) 435-1881,"Provides accessible, community-based health services including mental health support.","mental health, community health, accessible services",https://dfcm.utoronto.ca/integrated-communities-stream,1,1,1,community health centre alliston,Allist,Good
