id,Service name,Clean_Service_Name,City,best_match_gt,similarity_score,is_match
92,Campbellford and District Community Mental Health Centre,campbellford and district community mental health centre,,Eden Community Homes,65,False
97,Durham Mental Health Services,durham mental health services,,"Lakeridge Health, Durham Mental Health Services",100,True
98,Addiction & Mental Health Services - Kingston Frontenac Lennox & Addington,addiction & mental health services kingston frontenac lennox & addington,,CMHA Thames Valley Addiction and Mental Health Services,74,True
101,Haliburton Highlands Mental Health Services,haliburton highlands mental health services,,CMHA Thames Valley Addiction and Mental Health Services,82,True
106,Lanark County Mental Health,lanark county mental health,,Canadian Mental Health Association. Simcoe County Branch,85,True
111,Sound Times Support Services of Metropolitan Toronto,sound times support services of metropolitan toronto,,YWCA Toronto - Housing and Supports,56,False
112,Toronto North Support Services,toronto north support services,,YWCA Toronto - Housing and Supports,63,False
113,York Support Services Network,york support services network,,Family Mental Health Support Network of Niagara,68,False
115,Counselling Centre of East Algoma,counselling centre of east algoma,,Wellkin,71,False
118,"Services de counselling de Hearst, Kapuskasing and Smooth Rock Falls",services de counselling de hearst kapuskasing and smooth rock falls,,Wellkin,71,False
119,Thunder Bay Counselling Centre,thunder bay counselling centre,,Wellkin,71,False
129,Children's Hospital of Eastern Ontario (CHEO) Mental Health Patient Service Unit,children s hospital of eastern ontario mental health patient service unit,,Parents For Children's Mental Health,80,True
157,Thunder Bay Sexual Assault/Sexual Abuse Counselling and Crisis Centre,thunder bay sexual assault sexual abuse counselling and crisis centre,,Wellkin,71,False
164,Bluewater Health Mental Health Program,bluewater health mental health program,,"Lakeridge Health, Durham Mental Health Services",68,False
167,Six Nation Mental Health Services,six nation mental health services,,CMHA Thames Valley Addiction and Mental Health Services,87,True
180,Addiction and Mental Health Services (AMHS-KFLA) - Kingston Frontenac Lennox & Addington - Napanee Site,addiction and mental health services kingston frontenac lennox & addington napanee site,Dundas St E,Canadian Centre for Victims of Torture,47,False
181,Addiction and Mental Health Services (AMHS-KFLA) - Kingston Frontenac Lennox & Addington - Napanee Site - Case Management,addiction and mental health services kingston frontenac lennox & addington napanee site case management,Dundas St E,Canadian Centre for Victims of Torture,47,False
192,Carion Fenn Foundation,carion fenn foundation,,St Joseph's Health Care London,61,False
215,Ontario Shores Centre for Mental Health Sciences,ontario shores centre for mental health sciences,,Southwest Ontario Aboriginal Health Access Centre,76,True
216,Canadian Mental Health Services (CMHA Toronto),canadian mental health services,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
235,ConnexOntario,connexontario,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
237,Canadian Mental Health Association – Ontario Division,canadian mental health association ontario division,,Canadian Mental Health Association. Simcoe County Branch,84,True
243,Turning Point Counselling Centre,turning point counselling centre,,Wellkin,71,False
244,EHN Bellwood Toronto,ehn bellwood toronto,,Indwell,57,False
247,Connect Cognitive Therapy,connect cognitive therapy,,Canadian Mental Health Association. Simcoe County Branch,52,False
248,Mind Unwind Psychotherapy,mind unwind psychotherapy,,Indwell,57,False
250,Brookside Therapy & Assessments,brookside therapy & assessments,,Life With A Baby,50,False
269,Canadian Mental Health Association (CMHA) York Region Branch,canadian mental health association york region branch,-,Canadian Mental Health Association Hastings Prince Edward,81,True
271,COTA Health,cota health,-,Canadian Mental Health Association Hastings Prince Edward,82,True
277,Good Shepherd Non-Profit Homes - Intensive Case Management,good shepherd non profit homes intensive case management,-,Wellkin,43,False
297,Pathways,pathways,,Brightshores Health System,62,False
298,Justice and Mental Health Program,justice and mental health program,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",70,False
300,ConnexOntario,connexontario,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
303,Connex Ontario,connex ontario,,Spinal Cord Injury Ontario,73,True
318,Under The Umbrella - Umbrella Mental Health Network,under the umbrella umbrella mental health network,,Family Mental Health Support Network of Niagara,69,False
351,York Rainbow Support,york rainbow support,,YWCA Toronto - Housing and Supports,67,False
353,Umbrella Mental Health Network,umbrella mental health network,,Family Mental Health Support Network of Niagara,82,True
354,Umbrella Mental Health Network,umbrella mental health network,,Family Mental Health Support Network of Niagara,82,True
357,Umbrella Mental Health Network,umbrella mental health network,,Family Mental Health Support Network of Niagara,82,True
378,Arnprior & District Family Health Team,arnprior & district family health team,,Brightshores Health System,59,False
417,"Deborah Macdonald - Rp, Rpc, Mpcc, Atc",deborah macdonald rp rpc mpcc atc,-,Canadian Mental Health Association Hastings Prince Edward,39,False
431,Pathstone Mental Health,pathstone mental health,,Parents For Children's Mental Health,79,True
433,COAST (Crisis Outreach and Support Team) Niagara,coast niagara,,Consumer/Survivor Initiative of Niagara,78,True
434,Distress Centre Niagara,distress centre niagara,,Southwest Ontario Aboriginal Health Access Centre,61,False
440,Family Mental Health Support Network of Niagara (FSN),family mental health support network of niagara,,Family Mental Health Support Network of Niagara,100,True
449,Canadian Mental Health Association,canadian mental health association,Lindsay St S,"Canadian Mental Health Association Haliburton, Kawartha, Pine Ridge",100,True
451,Kinark Child & Family Services,kinark child & family services,-,Wellkin,60,False
459,Michael Doris Counselling Services,michael doris counselling services,-,Wellkin,71,False
460,Wraight Child And Youth Counselling,wraight child and youth counselling,-,Wellkin,77,True
478,Atikokan General Hospital,atikokan general hospital,,Huron Health System - Alexandra Marine and General Hospital,84,True
488,Shelter of Hope – Outreach,shelter of hope outreach,,Canadian Mental Health Association. Simcoe County Branch,51,False
490,Atikokan Community Counselling,atikokan community counselling,,Wellkin,77,True
506,Your Support Services Network - Streamlined Access,your support services network streamlined access,-,Wellkin,57,False
507,Canadian Mental Health Association – York and South Simcoe,canadian mental health association york and south simcoe,,Canadian Mental Health Association. Simcoe County Branch,88,True
512,Counselling Services of York Region,counselling services of york region,,Wellkin,71,False
516,Children’s Mental Health Ontario,children s mental health ontario,,Parents For Children's Mental Health,86,True
587,Canadian Mental Health Association,canadian mental health association,Wellington St,Canadian Mental Health Association - Waterloo Wellington,100,True
588,Family Mental Health Support Network Of Niagara,family mental health support network of niagara,-,Canadian Mental Health Association Hastings Prince Edward,55,False
590,Canadian Mental Health As,canadian mental health as,Wellington St,Canadian Mental Health Association - Waterloo Wellington,100,True
592,Niagara Region Mental Health,niagara region mental health,-,Canadian Mental Health Association Hastings Prince Edward,72,True
595,Niagara Health (NH) - Emergency and Mental Health Services,niagara health emergency and mental health services,,Niagara (Region of). Public Health and Emergency Services,91,True
597,Pathstone Mental Health,pathstone mental health,,Parents For Children's Mental Health,79,True
598,Youth Wellness Hubs Ontario - Niagara Region,youth wellness hubs ontario niagara region,,Wellkin,71,False
599,Family Counselling Centre (FCC) Niagara,family counselling centre niagara,,Wellkin,71,False
600,Niagara Life Centre Counselling,niagara life centre counselling,,Wellkin,77,True
601,Port Cares,port cares,,YWCA Toronto - Housing and Supports,67,False
603,Niagara Region Public Health – Mental Health,niagara region public health mental health,,Family Mental Health Support Network of Niagara,75,True
604,Canadian Mental Health Association (CMHA) Niagara,canadian mental health association niagara,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",94,True
605,Gateway Residential and Community Support Services of Niagara,gateway residential and community support services of niagara,,Eden Community Homes,65,False
617,"Jennifer Braniff, MACP, MCoun",jennifer braniff macp mcoun,,Responsible Gambling Council,46,False
619,"Mastora Roshan, MSW, RSW",mastora roshan msw rsw,,St Joseph's Health Care London,53,False
624,"David Cadman, M.D., M. Sc., FRCPC",david cadman m d m sc frcpc,,Recovery Canada,46,False
625,"Gail Paterson, MSW, RSW, RYT",gail paterson msw rsw ryt,,Gamblers Anonymous,59,False
629,"Karen Burrell, MSW, RSW",karen burrell msw rsw,,Partnering Horses with Humans,50,False
651,Canadian Mental Health Association - Champlain East - Hawkesbury,canadian mental health association champlain east hawkesbury,,Canadian Mental Health Association. Simcoe County Branch,80,True
653,Canadian Mental Health Association Champlain East - Hawkesbury - Oasis Resource Centre,canadian mental health association champlain east hawkesbury oasis resource centre,,Canadian Mental Health Association. Simcoe County Branch,80,True
654,Canadian Mental Health Association Ottawa,canadian mental health association ottawa,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",92,True
655,Canadian Mental Health Association Ottawa - Dual Diagnosis Case Management,canadian mental health association ottawa dual diagnosis case management,,Canadian Mental Health Association. Simcoe County Branch,81,True
657,Canadian Mental Health Association Ottawa - Mental Health Community Support Services,canadian mental health association ottawa mental health community support services,,Canadian Mental Health Association. Simcoe County Branch,81,True
658,"Canadian Mental Health Association, Ottawa Branch - CMHA Ottawa - Post-Suicide Support Team",canadian mental health association ottawa branch cmha ottawa post suicide support team,,Canadian Mental Health Association. Simcoe County Branch,85,True
683,Durham Mental Health Services,durham mental health services,,"Lakeridge Health, Durham Mental Health Services",100,True
686,ConnexOntario,connexontario,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
704,Carleton Place Positive Change Centre,carleton place positive change centre,-,Canadian Mental Health Association Hastings Prince Edward,49,False
710,Children’s Mental Health of Leeds & Grenville,children s mental health of leeds & grenville,,Parents For Children's Mental Health,80,True
716,Durham Mental Health Services,durham mental health services,,"Lakeridge Health, Durham Mental Health Services",100,True
717,Distress Centre Durham,distress centre durham,,Southwest Ontario Aboriginal Health Access Centre,62,False
718,Family Services Durham,family services durham,,"Keystone Child, Youth and Family Services",81,True
719,Catholic Family Services of Durham,catholic family services of durham,,"Lakeridge Health, Durham Mental Health Services",66,False
720,John Howard Society of Durham Region,john howard society of durham region,,Alzheimer Society Huron Perth,54,False
721,CAREA Community Health Centre,carea community health centre,,Eden Community Homes,74,True
723,Durham Rape Crisis Centre,durham rape crisis centre,,Southwest Ontario Aboriginal Health Access Centre,65,False
726,Belleville General Hospital,belleville general hospital,,Huron Health System - Alexandra Marine and General Hospital,77,True
741,Alzheimer Society Of Belleville - Hastings,alzheimer society of belleville hastings,-,Wellkin,57,False
743,Belleville Quinte West Community Health Center,belleville quinte west community health center,,Eden Community Homes,75,True
745,Centre for Change,centre for change,-,Canadian Mental Health Association Hastings Prince Edward,47,False
746,Grounded Psychology,grounded psychology,-,Canadian Mental Health Association Hastings Prince Edward,32,False
748,Health Clinic,health clinic,-,Canadian Mental Health Association Hastings Prince Edward,69,False
749,Collaborative Minds Psychology,collaborative minds psychology,-,Canadian Mental Health Association Hastings Prince Edward,43,False
750,"Heather R. Schultz, Psychologist",heather r schultz psychologist,-,Canadian Mental Health Association Hastings Prince Edward,43,False
755,Drice Psychotherapy,drice psychotherapy,-,Canadian Mental Health Association Hastings Prince Edward,45,False
756,Roberts Counselling,roberts counselling,-,Wellkin,77,True
758,Amanda George Counselling and Therapy Services,amanda george counselling and therapy services,-,Wellkin,71,False
759,Pamyna Bourgeois,pamyna bourgeois,-,Canadian Mental Health Association Hastings Prince Edward,38,False
762,"Blanka Miletic, Psych",blanka miletic psych,-,Canadian Mental Health Association Hastings Prince Edward,49,False
768,Parents lifeline of Eastern Ontario,parents lifeline of eastern ontario,,PLEO - Parents' Lifeline,86,True
769,Telephone and Virtual Mental Health Counselling in Ottawa and Area,telephone and virtual mental health counselling in ottawa and area,,Wellkin,71,False
773,Crisis Line,crisis line,,Indwell,60,False
775,CMHA Toronto: Family Outreach and Response,cmha toronto family outreach and response,,YWCA Toronto - Housing and Supports,58,False
855,Metamorphosis Centre for Change Ltd,metamorphosis centre for change ltd,,Parents For Children's Mental Health,56,False
859,Simcoe Addiction and Mental Health Inc,simcoe addiction and mental health inc,,CMHA Thames Valley Addiction and Mental Health Services,84,True
874,DAFHT Single Session Clinic,dafht single session clinic,,Responsible Gambling Council,51,False
876,Robyn Godber Psychotherapy,robyn godber psychotherapy,-,Canadian Mental Health Association Hastings Prince Edward,35,False
883,C S Counselling Services,c s counselling services,-,Wellkin,71,False
884,DAFHT Single Session Clinic (Bolton),dafht single session clinic,,Responsible Gambling Council,51,False
885,Canadian Mental Health Association (CMHA) Peel-Dufferin,canadian mental health association peel dufferin,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",85,True
886,Family Transition Place,family transition place,,Hanover Place,70,False
914,Arukah Counselling,arukah counselling,,Wellkin,77,True
918,"Olga Racine, B.Ed., Ph.D., RP, CCC, CCTP",olga racine b ed ph d rp ccc cctp,,Niagara (Region of). Public Health and Emergency Services,45,False
925,North Renfrew Family Services Violence Against Women Program,north renfrew family services violence against women program,,"Keystone Child, Youth and Family Services",64,False
926,North Renfrew Family Services,north renfrew family services,,"Keystone Child, Youth and Family Services",79,True
936,Mental Health Services of Renfrew County,mental health services of renfrew county,-,Canadian Mental Health Association Hastings Prince Edward,56,False
937,Renfrew Crisis Clinic - Robbie Dean Family Counselling Centre,renfrew crisis clinic robbie dean family counselling centre,,Wellkin,71,False
939,Robbie Dean Crisis Centre,robbie dean crisis centre,,Southwest Ontario Aboriginal Health Access Centre,62,False
958,Mind Matters Psychotherapy & Creative Education,mind matters psychotherapy & creative education,-,Canadian Mental Health Association Hastings Prince Edward,44,False
959,Integrative Psychology Centre,integrative psychology centre,-,Wellkin,44,False
964,Distress Centre Durham,distress centre durham,,Southwest Ontario Aboriginal Health Access Centre,62,False
965,WeConnect,weconnect,,Canadian Mental Health Association. Simcoe County Branch,56,False
1002,Canadian Mental Health Association - Muskoka Parry Sound - Bracebridge Office,canadian mental health association muskoka parry sound bracebridge office,Manitoba St,"Canadian Mental Health Association, Muskoka-Parry Sound",100,True
1010,Telecare (Greater Simcoe),telecare,,Huron Perth Healthcare Alliance,62,False
1013,EHN Bellwood Toronto Treatment Centre,ehn bellwood toronto treatment centre,,Indwell,57,False
1015,Inner Life Psychotherapy + Healing Collective,inner life psychotherapy healing collective,,Indwell,57,False
1017,Feel Your Way Therapy Treatment Centre,feel your way therapy treatment centre,,National Eating Disorder Information Centre,52,False
1028,Canadian Mental Health Association Peel Dufferin,canadian mental health association peel dufferin,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",85,True
1029,Anchoridge Counselling Services,anchoridge counselling services,,Wellkin,71,False
1035,Brant CMHA Brant Haldimand Norfolk,brant cmha brant haldimand norfolk,,Huron Health System - Alexandra Marine and General Hospital,50,False
1036,Soar Community Services,soar community services,,"Keystone Child, Youth and Family Services",70,False
1039,Brant Assertive Community Treatment Team (Brant ACTT),brant assertive community treatment team,,Eden Community Homes,70,False
1040,CAMHS Haldimand Norfolk,camhs haldimand norfolk,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",53,False
1042,SOAR Community Services,soar community services,,"Keystone Child, Youth and Family Services",70,False
1043,Contact Brant,contact brant,,Canadian Mental Health Association. Simcoe County Branch,69,False
1045,Aboriginal Health Centre (De Dwa Da Dehs Nye>s),aboriginal health centre,,Southwest Ontario Aboriginal Health Access Centre,100,True
1049,Aboriginal Health Centre (De Dwa Da Dehs Nye>s),aboriginal health centre,,Southwest Ontario Aboriginal Health Access Centre,100,True
1051,Crisis Counselling,crisis counselling,,Wellkin,77,True
1054,Aboriginal Health Centre (De Dwa Da Dehs Nye>s),aboriginal health centre,,Southwest Ontario Aboriginal Health Access Centre,100,True
1055,BCHS Early Intervention and Early Psychosis Intervention,bchs early intervention and early psychosis intervention,,Indwell,57,False
1056,Contact Brant,contact brant,,Canadian Mental Health Association. Simcoe County Branch,69,False
1058,Woodview Mental Health and Autism Services,woodview mental health and autism services,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",80,True
1060,Agriculture Wellness Ontario,agriculture wellness ontario,,Wellkin,71,False
1062,"Canadian Mental Health Association (Brant, Haldimand and Norfolk Branch)",canadian mental health association,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
1063,ConnexOntario,connexontario,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
1067,SOAR Community Services,soar community services,,"Keystone Child, Youth and Family Services",70,False
1071,ConnexOntario,connexontario,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
1074,SOAR Community Services - 24 Hour Crisis Line,soar community services 24 hour crisis line,,Eden Community Homes,67,False
1156,Building Multicultural Communities - Brampton Centre - Mental Health Services - Crisis Counselling,building multicultural communities brampton centre mental health services crisis counselling,Queen St E,Cota,50,False
1157,Building Multicultural Communities - Brampton Centre - Mental Health Services - Enriching Lives,building multicultural communities brampton centre mental health services enriching lives,Queen St E,Cota,50,False
1158,"Canadian Mental Health Association, Peel Dufferin Branch - Brampton",canadian mental health association peel dufferin branch brampton,Hurontario St,"Canadian Mental Health Association, Peel Dufferin Branch",100,True
1164,"Canadian Mental Health Association, Peel Dufferin Branch - Orangeville",canadian mental health association peel dufferin branch orangeville,Elizabeth St,Canadian Mental Health Association - Peel Dufferin,100,True
1165,"Canadian Mental Health Association, Peel Dufferin Branch - Orangeville - Case Management",canadian mental health association peel dufferin branch orangeville case management,Elizabeth St,Canadian Mental Health Association - Peel Dufferin,100,True
1166,"Canadian Mental Health Association, Peel Dufferin Branch - Orangeville - Seniors Intensive Case Management",canadian mental health association peel dufferin branch orangeville seniors intensive case management,Elizabeth St,Canadian Mental Health Association - Peel Dufferin,100,True
1181,The Village Wellness Services,the village wellness services,-,Wellkin,71,False
1227,Assertive Community Treatment Teams (ACTT),assertive community treatment teams,Hwy,HF Care,43,False
1230,nan,nan,,National Eating Disorder Information Centre,80,True
1240,Central West Ontario Health Team,central west ontario health team,,Brightshores Health System,68,False
1241,ConnexOntario,connexontario,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
1247,Brampton Counselling Clinic,brampton counselling clinic,,Wellkin,71,False
1248,Bayridge Counselling Centres,bayridge counselling centres,,Wellkin,71,False
1251,Brightshores Health System - Owen Sound Hospital - Mental Health and Addictions Services,brightshores health system owen sound hospital mental health and addictions services,,Brightshores Health System,100,True
1252,Brightshores Health System - Owen Sound Hospital - Mental Health and Addictions Services - Assertive Community Treatment Team,brightshores health system owen sound hospital mental health and addictions services assertive community treatment team,,Brightshores Health System,100,True
1253,Brightshores Health System - Owen Sound Hospital - Mental Health and Addictions Services - Case Management Program,brightshores health system owen sound hospital mental health and addictions services case management program,,Brightshores Health System,100,True
1260,Community Mental Health Teams of Grey Bruce,community mental health teams of grey bruce,,Eden Community Homes,75,True
1262,Beginnings-Transition House,beginnings transition house,,Gamblers Anonymous,56,False
1263,East Algoma Counselling Service,east algoma counselling service,,Wellkin,71,False
1264,Day Treatment Program,day treatment program,Queen St E,Cota,50,False
1268,Canadian Mental Health Association,canadian mental health association,Queen St E,Cota,67,False
1271,Club 84 Members,club 84 members,Queen St E,Cota,40,False
1278,Crisis Services,crisis services,,Niagara (Region of). Public Health and Emergency Services,77,True
1279,Iris Counselling,iris counselling,,Wellkin,77,True
1282,Canadian Mental Health Association (CMHA) Grey Bruce,canadian mental health association grey bruce,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
1283,"Brightshores Health System, Mental Health & Addictions",brightshores health system mental health & addictions,,Brightshores Health System,100,True
1287,One Stop Talk,one stop talk,,Huron Health System - Alexandra Marine and General Hospital,60,False
1289,Ontario Structured Psychotherapy (OSP),ontario structured psychotherapy,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",52,False
1291,MindFirst Therapy,mindfirst therapy,,Indwell,55,False
1294,Paramount Rehab Centre,paramount rehab centre,,National Eating Disorder Information Centre,61,False
1296,Room for Growth Counselling Services,room for growth counselling services,,Wellkin,71,False
1297,Shepherd Psychotherapy - Jeff Shepherd,shepherd psychotherapy jeff shepherd,,Alzheimer Society Huron Perth,48,False
1298,Shepherd Psychotherapy - Lea Sutherland,shepherd psychotherapy lea sutherland,,Hanover Place,54,False
1299,Anxiety Care Centre,anxiety care centre,,Southwest Ontario Aboriginal Health Access Centre,65,False
1302,Oak and Sands Counselling Services,oak and sands counselling services,,Wellkin,71,False
1304,Whispering Pines Counselling & Wellness,whispering pines counselling & wellness,,Wellkin,71,False
1324,Muskoka-Parry Sound Community Mental Health Service,muskoka parry sound community mental health service,-,Canadian Mental Health Association Hastings Prince Edward,53,False
1325,Counselling Muskoka,counselling muskoka,-,Wellkin,71,False
1327,"Canadian Mental Health Association, Muskoka-Parry Sound Branch",canadian mental health association muskoka parry sound branch,-,Canadian Mental Health Association Hastings Prince Edward,78,True
1329,Muskoka-Parry Sound Community Mental Health Service,muskoka parry sound community mental health service,-,Canadian Mental Health Association Hastings Prince Edward,53,False
1332,"Canadian Mental Health Association, Muskoka-Parry Sound",canadian mental health association muskoka parry sound,Manitoba St,"Canadian Mental Health Association, Muskoka-Parry Sound",100,True
1333,Canadian Mental Health Association,canadian mental health association,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
1340,Oakville Distress Centre,oakville distress centre,,Southwest Ontario Aboriginal Health Access Centre,62,False
1342,Canadian Mental Health Association (CMHA) Toronto,canadian mental health association toronto,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",91,True
1348,"COAST: Crisis, Outreach and Support",coast crisis outreach and support,,YWCA Toronto - Housing and Supports,60,False
1401,The Exchange (Caledon Community Services),the exchange,,Huron Health System - Alexandra Marine and General Hospital,58,False
1402,Interim Place,interim place,,Hanover Place,76,True
1419,Bright Raven Psychotherapy & Consulting,bright raven psychotherapy & consulting,Main St N,Canadian Mental Health Association - Waterloo Wellington,39,False
1430,ConnexOntario,connexontario,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
1438,Good2Talk,good2talk,,Huron Health System - Alexandra Marine and General Hospital,50,False
1440,Campbellford & District Community Mental Health Centre,campbellford & district community mental health centre,,Eden Community Homes,65,False
1460,Umbrella Mental Health Network,umbrella mental health network,,Family Mental Health Support Network of Niagara,82,True
1463,LGBTQ Mental Health Counseling Smithville,lgbtq mental health counseling smithville,,CMHA Thames Valley Addiction and Mental Health Services,62,False
1465,LGBTQ Mental Health Counseling Ayr,lgbtq mental health counseling ayr,,CMHA Thames Valley Addiction and Mental Health Services,63,False
1466,LGBTQ Mental Health Counseling Jarvis,lgbtq mental health counseling jarvis,,CMHA Thames Valley Addiction and Mental Health Services,70,False
1469,LGBTQ Mental Health Counseling Burford,lgbtq mental health counseling burford,,Family Mental Health Support Network of Niagara,62,False
1470,LGBTQ Mental Health Counseling Beamsville,lgbtq mental health counseling beamsville,,CMHA Thames Valley Addiction and Mental Health Services,62,False
1471,LGBTQ Mental Health Counseling Waterford,lgbtq mental health counseling waterford,,CMHA Thames Valley Addiction and Mental Health Services,60,False
1474,LGBTQ Mental Health Counseling Orton,lgbtq mental health counseling orton,,Family Mental Health Support Network of Niagara,64,False
1476,LGBTQ Mental Health Counseling Acton,lgbtq mental health counseling acton,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",64,False
1477,LGBTQ Mental Health Counseling Breslau,lgbtq mental health counseling breslau,,CMHA Thames Valley Addiction and Mental Health Services,66,False
1480,LGBTQ Mental Health Counseling New Dundee,lgbtq mental health counseling new dundee,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",59,False
1483,LGBTQ Mental Health Counseling Drumbo,lgbtq mental health counseling drumbo,,CMHA Thames Valley Addiction and Mental Health Services,60,False
1484,LGBTQ Mental Health Counseling Wellandport,lgbtq mental health counseling wellandport,,Indwell,71,False
1487,LGBTQ Mental Health Counseling Georgetown,lgbtq mental health counseling georgetown,,Parents For Children's Mental Health,60,False
1488,LGBTQ Mental Health Counseling Dunnville,lgbtq mental health counseling dunnville,,CMHA Thames Valley Addiction and Mental Health Services,63,False
1492,LGBTQ Mental Health Counseling Norval,lgbtq mental health counseling norval,,CMHA Thames Valley Addiction and Mental Health Services,63,False
1498,LGBTQ Mental Health Counseling Port Dover,lgbtq mental health counseling port dover,,Family Mental Health Support Network of Niagara,64,False
1499,LGBTQ Mental Health Counseling Plattsville,lgbtq mental health counseling plattsville,,CMHA Thames Valley Addiction and Mental Health Services,62,False
1502,LGBTQ Mental Health Counseling Conestogo,lgbtq mental health counseling conestogo,,CMHA Thames Valley Addiction and Mental Health Services,67,False
1509,LGBTQ Mental Health Counseling Fonthill,lgbtq mental health counseling fonthill,,Canadian Mental Health Association. Simcoe County Branch,62,False
1514,LGBTQ Mental Health Counseling Wainfleet,lgbtq mental health counseling wainfleet,,CMHA Thames Valley Addiction and Mental Health Services,60,False
1517,LGBTQ Mental Health Counseling Innerkip,lgbtq mental health counseling innerkip,,CMHA Thames Valley Addiction and Mental Health Services,61,False
1518,LGBTQ Mental Health Counseling Caledon,lgbtq mental health counseling caledon,,CMHA Thames Valley Addiction and Mental Health Services,66,False
1519,LGBTQ Mental Health Counseling Erin,lgbtq mental health counseling erin,,CMHA Thames Valley Addiction and Mental Health Services,66,False
1525,LGBTQ Mental Health Counseling New Hamburg,lgbtq mental health counseling new hamburg,,CMHA Thames Valley Addiction and Mental Health Services,58,False
1526,LGBTQ Mental Health Counseling Otterville,lgbtq mental health counseling otterville,,CMHA Thames Valley Addiction and Mental Health Services,66,False
1527,LGBTQ Mental Health Counseling Fergus,lgbtq mental health counseling fergus,,CMHA Thames Valley Addiction and Mental Health Services,67,False
1528,LGBTQ Mental Health Counseling St Catharines,lgbtq mental health counseling st catharines,,Overeaters Anonymous - St Catharines,66,False
1530,LGBTQ Mental Health Counseling Elmira,lgbtq mental health counseling elmira,,CMHA Thames Valley Addiction and Mental Health Services,63,False
1531,LGBTQ Mental Health Counseling Elora,lgbtq mental health counseling elora,,CMHA Thames Valley Addiction and Mental Health Services,64,False
1535,LGBTQ Mental Health Counseling Hawkesville,lgbtq mental health counseling hawkesville,,CMHA Thames Valley Addiction and Mental Health Services,62,False
1539,Dr Jean-Guy Gagnon Medicine Prof,dr jean guy gagnon medicine prof,-,Wellkin,43,False
1577,CMHA York Region & South Simcoe,cmha york region & south simcoe,,"Keystone Child, Youth and Family Services",49,False
1587,Anna Myers Marriage and Family Therapist,anna myers marriage and family therapist,,Huron Health System - Alexandra Marine and General Hospital,58,False
